Label,Fs1,Fs2,Fs3,Fs4,Fs5,Fs6,Fs7,Fs8,Fs9,Fs10,Fs11,Fs12,Fs13,Fs14,Fs15,Fs16,Fs17,Fs18,Fs19,Fs20,Fs21,Fs22,Fs23,Fs24,Fs25,Fs26,Fs27,Fs28,Fs29,Fs30,Fs31,Fs32
Benign,"[123udp9696SF, 13]","[8081tcp00REJ, 4]","[80tcp00REJ, 4]","[80tcp00RSTO, 3]","[10icmp800OTH, 2]","[0icmp800OTH, 2]","[22tcp10082496OTH, 1]","[1icmp880OTH, 1]","[1icmp560OTH, 1]","[13icmp560OTH, 1]","[1icmp800OTH, 1]",,,,,,,,,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 5]","[666tcp00REJ, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 12155]","[52869tcp00REJ, 5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 12159]","[37215tcp00REJ, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 12156]","[80tcp00S0, 10941]","[8080tcp00S0, 1216]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[123udp9696SF, 83]","[8081tcp00REJ, 52]","[10icmp800OTH, 27]","[0icmp800OTH, 24]","[13icmp560OTH, 19]","[8080tcp00REJ, 19]","[1icmp800OTH, 18]","[80tcp00RSTO, 15]","[0icmp560OTH, 12]","[80tcp00REJ, 11]","[8081tcp00RSTO, 5]","[1icmp560OTH, 4]","[0icmp1360OTH, 4]","[3icmp800OTH, 3]","[13icmp800OTH, 2]","[13icmp840OTH, 2]","[17576tcp00REJ, 2]","[1icmp880OTH, 2]","[22tcp168444SF, 1]","[17576tcp00RSTOS0, 1]","[1icmp1120OTH, 1]","[1icmp1360OTH, 1]",,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 45]","[666tcp00REJ, 20]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142329]","[52869tcp00REJ, 50]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142366]","[37215tcp00REJ, 22]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142339]","[80tcp00S0, 127997]","[8080tcp00S0, 14202]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[10icmp800OTH, 70]","[123udp9696SF, 69]","[8081tcp00REJ, 40]","[0icmp560OTH, 25]","[80tcp00RSTO, 20]","[1icmp800OTH, 17]","[80tcp00REJ, 15]","[0icmp800OTH, 9]","[0icmp1360OTH, 7]","[13icmp560OTH, 6]","[8080tcp00REJ, 5]","[3icmp1600OTH, 3]","[1icmp560OTH, 3]","[8081tcp00RSTO, 3]","[1icmp880OTH, 2]","[17576tcp00REJ, 2]","[5353udp8250S0, 2]","[0icmp1600OTH, 1]","[3icmp800OTH, 1]","[1icmp1120OTH, 1]",,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 51]","[666tcp00REJ, 15]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142021]","[52869tcp00REJ, 51]","[52869tcp00RSTO, 3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142356]","[37215tcp00REJ, 37]","[37215tcp00RSTO, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142358]","[80tcp00S0, 128134]","[8080tcp00S0, 14232]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[123udp9696SF, 55]","[8081tcp00REJ, 48]","[10icmp800OTH, 47]","[80tcp00RSTO, 22]","[0icmp560OTH, 19]","[1icmp800OTH, 18]","[0icmp800OTH, 14]","[80tcp00REJ, 13]","[13icmp560OTH, 12]","[0icmp1360OTH, 7]","[1icmp560OTH, 6]","[8080tcp00REJ, 4]","[17576tcp00REJ, 2]","[8081tcp00RSTO, 2]","[3icmp880OTH, 2]","[3icmp1600OTH, 1]","[13icmp840OTH, 1]","[1icmp1360OTH, 1]","[3icmp800OTH, 1]","[10icmp560OTH, 1]",,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 61]","[666tcp00REJ, 10]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142165]","[52869tcp00REJ, 65]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142203]","[37215tcp00REJ, 25]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142350]","[80tcp00S0, 128000]","[8080tcp00S0, 14219]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[8081tcp00REJ, 52]","[123udp9696SF, 41]","[10icmp800OTH, 38]","[80tcp00REJ, 30]","[0icmp560OTH, 25]","[80tcp00RSTO, 20]","[0icmp800OTH, 13]","[8080tcp00REJ, 12]","[1icmp800OTH, 8]","[1icmp880OTH, 8]","[8081tcp00RSTO, 7]","[0icmp1360OTH, 6]","[123udp960S0, 5]","[1icmp560OTH, 5]","[13icmp560OTH, 4]","[17576tcp00REJ, 4]","[13icmp1360OTH, 1]","[0icmp2800OTH, 1]","[13icmp840OTH, 1]","[13icmp800OTH, 1]","[8080tcp00RSTO, 1]","[1icmp1360OTH, 1]","[3icmp800OTH, 1]","[80tcp201939SF, 1]",,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 54]","[666tcp00REJ, 11]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142352]","[52869tcp00REJ, 37]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142199]","[37215tcp00REJ, 29]","[37215tcp00RSTO, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142347]","[80tcp00S0, 128118]","[8080tcp00S0, 14228]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[8081tcp00REJ, 47]","[10icmp800OTH, 39]","[123udp9696SF, 33]","[1icmp800OTH, 25]","[0icmp800OTH, 20]","[8080tcp00REJ, 19]","[80tcp00RSTO, 16]","[0icmp560OTH, 16]","[13icmp560OTH, 15]","[80tcp00REJ, 13]","[123udp960S0, 7]","[1icmp560OTH, 7]","[1icmp880OTH, 6]","[8081tcp00RSTO, 5]","[8080tcp00RSTO, 4]","[0icmp1360OTH, 3]","[3icmp800OTH, 3]","[13icmp800OTH, 2]","[1icmp1360OTH, 1]","[80tcp00RSTOS0, 1]",,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 49]","[666tcp00REJ, 15]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142189]","[52869tcp00REJ, 37]","[52869tcp00RSTO, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142367]","[37215tcp00REJ, 21]","[37215tcp00RSTO, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
