Label,Fs1,Fs2,Fs3,Fs4,Fs5,Fs6,Fs7,Fs8,Fs9,Fs10,Fs11,Fs12,Fs13,Fs14,Fs15,Fs16,Fs17,Fs18,Fs19,Fs20,Fs21,Fs22,Fs23,Fs24,Fs25,Fs26,Fs27,Fs28,Fs29,Fs30,Fs31,Fs32,Fs33,Fs34,Fs35,Fs36,Fs37,Fs38,Fs39,Fs40,Fs41,Fs42,Fs43,Fs44,Fs45,Fs46,Fs47
Benign,"[123udp9696SF, 96]","[8081tcp00REJ, 56]","[10icmp800OTH, 29]","[0icmp800OTH, 26]","[13icmp560OTH, 20]","[8080tcp00REJ, 19]","[1icmp800OTH, 19]","[80tcp00RSTO, 18]","[80tcp00REJ, 15]","[0icmp560OTH, 12]","[1icmp560OTH, 5]","[8081tcp00RSTO, 5]","[0icmp1360OTH, 4]","[3icmp800OTH, 3]","[1icmp880OTH, 3]","[13icmp840OTH, 2]","[13icmp800OTH, 2]","[17576tcp00REJ, 2]","[22tcp10082496OTH, 1]","[22tcp168444SF, 1]","[17576tcp00RSTOS0, 1]","[1icmp1120OTH, 1]","[1icmp1360OTH, 1]",,,,,,,,,,,,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 50]","[666tcp00REJ, 22]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 154484]","[52869tcp00REJ, 55]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 154525]","[37215tcp00REJ, 23]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 154495]","[80tcp00S0, 138938]","[8080tcp00S0, 15418]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[123udp9696SF, 198]","[10icmp800OTH, 194]","[8081tcp00REJ, 187]","[0icmp560OTH, 85]","[80tcp00RSTO, 78]","[80tcp00REJ, 71]","[1icmp800OTH, 68]","[0icmp800OTH, 56]","[8080tcp00REJ, 40]","[13icmp560OTH, 37]","[0icmp1360OTH, 23]","[1icmp560OTH, 21]","[8081tcp00RSTO, 17]","[1icmp880OTH, 16]","[123udp960S0, 12]","[17576tcp00REJ, 8]","[3icmp800OTH, 6]","[8080tcp00RSTO, 5]","[3icmp1600OTH, 4]","[1icmp1360OTH, 3]","[13icmp800OTH, 3]","[5353udp8250S0, 2]","[13icmp840OTH, 2]","[3icmp880OTH, 2]","[0icmp1600OTH, 1]","[1icmp1120OTH, 1]","[10icmp560OTH, 1]","[13icmp1360OTH, 1]","[0icmp2800OTH, 1]","[80tcp201939SF, 1]","[80tcp00RSTOS0, 1]",,,,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 215]","[666tcp00REJ, 51]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 568727]","[52869tcp00REJ, 190]","[52869tcp00RSTO, 4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 569125]","[37215tcp00REJ, 112]","[37215tcp00RSTO, 3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 569238]","[80tcp00S0, 512390]","[8080tcp00S0, 56904]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
