Label,Fs1,Fs2,Fs3,Fs4,Fs5,Fs6,Fs7,Fs8,Fs9,Fs10,Fs11,Fs12,Fs13,Fs14,Fs15,Fs16,Fs17,Fs18,Fs19,Fs20,Fs21,Fs22,Fs23,Fs24,Fs25,Fs26,Fs27,Fs28,Fs29,Fs30,Fs31,Fs32,Fs33,Fs34,Fs35,Fs36,Fs37,Fs38,Fs39,Fs40,Fs41,Fs42,Fs43,Fs44,Fs45,Fs46,Fs47,Fs48,Fs49,Fs50,Fs51,Fs52,Fs53,Fs54,Fs55,Fs56,Fs57,Fs58,Fs59,Fs60,Fs61,Fs62,Fs63
Benign,"[123udp9696SF, 96]","[8081tcp00REJ, 56]","[10icmp800OTH, 29]","[0icmp800OTH, 26]","[13icmp560OTH, 20]","[8080tcp00REJ, 19]","[1icmp800OTH, 19]","[80tcp00RSTO, 18]","[80tcp00REJ, 15]","[0icmp560OTH, 12]","[1icmp560OTH, 5]","[8081tcp00RSTO, 5]","[0icmp1360OTH, 4]","[3icmp800OTH, 3]","[1icmp880OTH, 3]","[13icmp840OTH, 2]","[13icmp800OTH, 2]","[17576tcp00REJ, 2]","[22tcp10082496OTH, 1]","[22tcp168444SF, 1]","[17576tcp00RSTOS0, 1]","[1icmp1120OTH, 1]","[1icmp1360OTH, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 50]","[666tcp00REJ, 22]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 154484]","[52869tcp00REJ, 55]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 154525]","[37215tcp00REJ, 23]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 154495]","[80tcp00S0, 138938]","[8080tcp00S0, 15418]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack,"[8080tcp00RSTO, 3]","[8080tcp2010S2, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[8081tcp00REJ, 370]","[10icmp800OTH, 362]","[123udp9696SF, 313]","[0icmp560OTH, 179]","[80tcp00REJ, 153]","[1icmp800OTH, 147]","[80tcp00RSTO, 120]","[0icmp800OTH, 115]","[8080tcp00REJ, 106]","[13icmp560OTH, 83]","[0icmp1360OTH, 43]","[1icmp560OTH, 43]","[8081tcp00RSTO, 31]","[123udp960S0, 27]","[1icmp880OTH, 26]","[3icmp800OTH, 26]","[17576tcp00REJ, 14]","[8080tcp00RSTO, 12]","[13icmp840OTH, 5]","[13icmp800OTH, 5]","[3icmp1600OTH, 4]","[1icmp1360OTH, 4]","[0icmp2800OTH, 3]","[0icmp880OTH, 2]","[0icmp1600OTH, 2]","[3icmp880OTH, 2]","[5353udp8250S0, 2]","[8081tcp7820S2, 2]","[13icmp1360OTH, 2]","[1icmp1120OTH, 1]","[10icmp560OTH, 1]","[80tcp00RSTOS0, 1]","[80tcp201939SF, 1]","[13icmp880OTH, 1]","[3icmp560OTH, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 424]","[666tcp00REJ, 110]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 1137885]","[52869tcp00REJ, 414]","[52869tcp00RSTO, 5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 1137940]","[37215tcp00REJ, 208]","[37215tcp00RSTO, 10]","[37215tcp821568SF, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
