Label,Fs1,Fs2,Fs3,Fs4,Fs5,Fs6,Fs7,Fs8,Fs9,Fs10,Fs11,Fs12,Fs13,Fs14,Fs15,Fs16,Fs17,Fs18,Fs19,Fs20,Fs21,Fs22,Fs23,Fs24,Fs25,Fs26,Fs27,Fs28,Fs29,Fs30,Fs31,Fs32,Fs33,Fs34,Fs35,Fs36,Fs37,Fs38,Fs39,Fs40,Fs41,Fs42,Fs43,Fs44,Fs45,Fs46,Fs47,Fs48,Fs49,Fs50,Fs51,Fs52,Fs53,Fs54,Fs55,Fs56,Fs57,Fs58,Fs59,Fs60,Fs61,Fs62,Fs63,Fs64,Fs65,Fs66,Fs67,Fs68,Fs69,Fs70,Fs71,Fs72,Fs73,Fs74
Attack,"[8080tcp00RSTO, 3]","[8080tcp2010S2, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[8081tcp00REJ, 426]","[123udp9696SF, 409]","[10icmp800OTH, 391]","[0icmp560OTH, 191]","[80tcp00REJ, 168]","[1icmp800OTH, 166]","[0icmp800OTH, 141]","[80tcp00RSTO, 138]","[8080tcp00REJ, 125]","[13icmp560OTH, 103]","[1icmp560OTH, 48]","[0icmp1360OTH, 47]","[8081tcp00RSTO, 36]","[1icmp880OTH, 29]","[3icmp800OTH, 29]","[123udp960S0, 27]","[17576tcp00REJ, 16]","[8080tcp00RSTO, 12]","[13icmp840OTH, 7]","[13icmp800OTH, 7]","[1icmp1360OTH, 5]","[3icmp1600OTH, 4]","[0icmp2800OTH, 3]","[8081tcp7820S2, 2]","[1icmp1120OTH, 2]","[13icmp1360OTH, 2]","[0icmp880OTH, 2]","[3icmp880OTH, 2]","[5353udp8250S0, 2]","[0icmp1600OTH, 2]","[22tcp10082496OTH, 1]","[22tcp168444SF, 1]","[17576tcp00RSTOS0, 1]","[10icmp560OTH, 1]","[80tcp00RSTOS0, 1]","[80tcp201939SF, 1]","[13icmp880OTH, 1]","[3icmp560OTH, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 474]","[666tcp00REJ, 132]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 1292369]","[52869tcp00REJ, 469]","[52869tcp00RSTO, 5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 1292465]","[37215tcp00REJ, 231]","[37215tcp00RSTO, 10]","[37215tcp821568SF, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 1293123]","[80tcp00S0, 1163545]","[8080tcp00S0, 129184]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan-Attack,"[8080tcp00S0, 5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 796]","[53udp1560S0, 532]","[10icmp800OTH, 460]","[18344tcp00RSTOS0, 399]","[123udp960S0, 266]","[17576tcp00RSTOS0, 266]","[53udp900S0, 234]","[0icmp560OTH, 231]","[17832tcp00RSTOS0, 223]","[80tcp00RSTO, 209]","[1icmp800OTH, 199]","[80tcp00RSTRH, 196]","[0icmp800OTH, 156]","[123udp9696SF, 117]","[8081tcp00REJ, 101]","[13icmp560OTH, 81]","[80tcp00REJ, 61]","[1icmp560OTH, 52]","[0icmp1360OTH, 51]","[8080tcp00RSTRH, 38]","[3icmp800OTH, 37]","[1icmp880OTH, 34]","[8080tcp00REJ, 30]","[53udp780S0, 28]","[17576tcp00REJ, 27]","[53udp78206SF, 18]","[53udp1800S0, 16]","[8080tcp00RSTO, 14]","[53udp156206SF, 12]","[8081tcp00RSTO, 11]","[13icmp840OTH, 11]","[0icmp880OTH, 8]","[123udp672576SF, 6]","[123udp384288SF, 6]","[17832tcp00REJ, 5]","[0icmp2800OTH, 4]","[123udp1920S0, 4]","[123udp288192SF, 3]","[13icmp1360OTH, 3]","[123udp12481152SF, 3]","[123udp480384SF, 2]","[123udp19201824SF, 2]","[0icmp1600OTH, 2]","[18344tcp00REJ, 2]","[3icmp880OTH, 2]","[13icmp800OTH, 2]","[123udp11521056SF, 2]","[13icmp920OTH, 2]","[1icmp1360OTH, 2]","[123udp864768SF, 2]","[53udp90240SF, 2]","[53udp7878SF, 2]","[123udp768672SF, 1]","[123udp576576SF, 1]","[3icmp560OTH, 1]","[5355udp45225SF, 1]","[123udp17281632SF, 1]","[43406tcp00RSTOS0, 1]","[0icmp2720OTH, 1]","[8080tcp2010S2, 1]","[80tcp201351SF, 1]","[13icmp880OTH, 1]","[2icmp560OTH, 1]","[53udp360180SF, 1]","[10icmp880OTH, 1]","[53udp3120S0, 1]","[123udp24962400SF, 1]","[50914tcp00REJ, 1]","[123udp23042208SF, 1]","[123udp13441248SF, 1]","[5353udp16500S0, 1]","[123udp18241728SF, 1]","[123udp16321536SF, 1]","[3icmp1600OTH, 1]"
C&C-HeartBeat,"[666tcp00S0, 1106]","[666tcp00REJ, 33]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 2276714]","[52869tcp00REJ, 191]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
