Label,Fs1,Fs2,Fs3,Fs4,Fs5,Fs6,Fs7,Fs8,Fs9,Fs10,Fs11,Fs12,Fs13,Fs14,Fs15,Fs16,Fs17,Fs18,Fs19,Fs20,Fs21,Fs22,Fs23,Fs24,Fs25,Fs26,Fs27,Fs28,Fs29,Fs30,Fs31,Fs32,Fs33,Fs34,Fs35,Fs36,Fs37,Fs38,Fs39,Fs40,Fs41,Fs42,Fs43,Fs44,Fs45,Fs46,Fs47,Fs48,Fs49,Fs50,Fs51,Fs52,Fs53,Fs54,Fs55,Fs56,Fs57,Fs58,Fs59,Fs60,Fs61,Fs62,Fs63,Fs64,Fs65,Fs66,Fs67,Fs68,Fs69,Fs70,Fs71,Fs72,Fs73,Fs74,Fs75,Fs76,Fs77,Fs78,Fs79,Fs80,Fs81,Fs82
Attack,"[8080tcp00RSTO, 3]","[8080tcp2010S2, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[10icmp800OTH, 851]","[53udp9090SF, 796]","[53udp1560S0, 532]","[8081tcp00REJ, 527]","[123udp9696SF, 526]","[0icmp560OTH, 422]","[18344tcp00RSTOS0, 399]","[1icmp800OTH, 365]","[80tcp00RSTO, 347]","[0icmp800OTH, 297]","[123udp960S0, 293]","[17576tcp00RSTOS0, 267]","[53udp900S0, 234]","[80tcp00REJ, 229]","[17832tcp00RSTOS0, 223]","[80tcp00RSTRH, 196]","[13icmp560OTH, 184]","[8080tcp00REJ, 155]","[1icmp560OTH, 100]","[0icmp1360OTH, 98]","[3icmp800OTH, 66]","[1icmp880OTH, 63]","[8081tcp00RSTO, 47]","[17576tcp00REJ, 43]","[8080tcp00RSTRH, 38]","[53udp780S0, 28]","[8080tcp00RSTO, 26]","[13icmp840OTH, 18]","[53udp78206SF, 18]","[53udp1800S0, 16]","[53udp156206SF, 12]","[0icmp880OTH, 10]","[13icmp800OTH, 9]","[0icmp2800OTH, 7]","[1icmp1360OTH, 7]","[123udp384288SF, 6]","[123udp672576SF, 6]","[17832tcp00REJ, 5]","[3icmp1600OTH, 5]","[13icmp1360OTH, 5]","[123udp1920S0, 4]","[0icmp1600OTH, 4]","[3icmp880OTH, 4]","[123udp288192SF, 3]","[123udp12481152SF, 3]","[13icmp920OTH, 2]","[53udp90240SF, 2]","[1icmp1120OTH, 2]","[123udp480384SF, 2]","[18344tcp00REJ, 2]","[5353udp8250S0, 2]","[123udp864768SF, 2]","[123udp11521056SF, 2]","[53udp7878SF, 2]","[8081tcp7820S2, 2]","[13icmp880OTH, 2]","[3icmp560OTH, 2]","[123udp19201824SF, 2]","[123udp17281632SF, 1]","[43406tcp00RSTOS0, 1]","[50914tcp00REJ, 1]","[123udp768672SF, 1]","[123udp13441248SF, 1]","[10icmp880OTH, 1]","[123udp24962400SF, 1]","[0icmp2720OTH, 1]","[123udp18241728SF, 1]","[5353udp16500S0, 1]","[123udp23042208SF, 1]","[2icmp560OTH, 1]","[53udp360180SF, 1]","[53udp3120S0, 1]","[5355udp45225SF, 1]","[123udp576576SF, 1]","[22tcp10082496OTH, 1]","[80tcp201351SF, 1]","[8080tcp2010S2, 1]","[80tcp00RSTOS0, 1]","[80tcp201939SF, 1]","[10icmp560OTH, 1]","[22tcp168444SF, 1]","[123udp16321536SF, 1]"
C&C-HeartBeat,"[666tcp00S0, 1580]","[666tcp00REJ, 165]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 3569083]","[52869tcp00REJ, 660]","[52869tcp00RSTO, 5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 3568965]","[37215tcp00REJ, 344]","[37215tcp00RSTO, 21]","[37215tcp821568SF, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 3569706]","[80tcp00S0, 3212531]","[8080tcp00S0, 356809]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan-Attack,"[8080tcp00S0, 5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 2993]","[53udp1560S0, 1510]","[18344tcp00RSTOS0, 1077]","[17576tcp00RSTOS0, 762]","[10icmp800OTH, 743]","[123udp960S0, 660]","[17832tcp00RSTOS0, 524]","[80tcp00RSTRH, 409]","[0icmp560OTH, 390]","[1icmp800OTH, 348]","[80tcp00RSTO, 325]","[0icmp800OTH, 270]","[13icmp560OTH, 206]","[1icmp560OTH, 102]","[0icmp1360OTH, 79]","[53udp780S0, 75]","[8080tcp00RSTRH, 65]","[3icmp800OTH, 61]","[17576tcp00REJ, 58]","[53udp78206SF, 57]","[1icmp880OTH, 52]","[53udp156206SF, 18]","[8080tcp00RSTO, 17]","[53udp1800S0, 14]","[17832tcp00REJ, 13]","[13icmp840OTH, 10]","[0icmp2800OTH, 10]","[13icmp800OTH, 9]","[0icmp1600OTH, 6]","[1icmp1360OTH, 6]","[13icmp1360OTH, 6]","[18344tcp00REJ, 3]","[123udp384288SF, 3]","[0icmp1120OTH, 3]","[3icmp560OTH, 2]","[3icmp880OTH, 2]","[1icmp1120OTH, 2]","[0icmp920OTH, 2]","[123udp57696SF, 2]","[123udp672576SF, 2]","[123udp1056960SF, 2]","[56420tcp00REJ, 1]","[123udp67296SF, 1]","[13icmp920OTH, 1]","[123udp19296SF, 1]","[47292tcp00RSTOS0, 1]","[0icmp2880OTH, 1]","[53484tcp00REJ, 1]","[0icmp880OTH, 1]","[44820tcp00RSTOS0, 1]","[53udp18090SF, 1]","[45990tcp00RSTOS0, 1]","[123udp576192SF, 1]","[0icmp840OTH, 1]","[45396tcp00RSTOS0, 1]","[45314tcp00RSTOS0, 1]","[123udp1920S0, 1]","[123udp14401344SF, 1]","[123udp576480SF, 1]","[3icmp3200OTH, 1]","[123udp19201824SF, 1]","[123udp22082112SF, 1]","[123udp768672SF, 1]","[3icmp1600OTH, 1]",,,,,,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 2294]","[666tcp00REJ, 4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 4553074]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 4553387]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 4553724]","[80tcp00S0, 4097537]","[8080tcp00S0, 455239]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 3002]","[53udp1560S0, 1502]","[18344tcp00RSTOS0, 949]","[10icmp800OTH, 768]","[17576tcp00RSTOS0, 742]","[123udp960S0, 672]","[17832tcp00RSTOS0, 501]","[80tcp00RSTRH, 400]","[0icmp560OTH, 372]","[80tcp00RSTO, 348]","[0icmp800OTH, 307]","[1icmp800OTH, 299]","[13icmp560OTH, 172]","[1icmp560OTH, 103]","[3icmp800OTH, 78]","[0icmp1360OTH, 76]","[53udp780S0, 75]","[1icmp880OTH, 62]","[53udp78206SF, 61]","[8080tcp00RSTRH, 57]","[17576tcp00REJ, 42]","[53udp156206SF, 18]","[17832tcp00REJ, 15]","[8080tcp00RSTO, 15]","[13icmp840OTH, 14]","[0icmp880OTH, 12]","[13icmp800OTH, 7]","[13icmp1360OTH, 6]","[1icmp1360OTH, 5]","[0icmp2800OTH, 4]","[18344tcp00REJ, 4]","[123udp9696SF, 3]","[0icmp920OTH, 2]","[123udp57696SF, 2]","[53udp78188SF, 2]","[53udp7878SF, 2]","[3icmp1600OTH, 2]","[123udp1920S0, 2]","[48252tcp00RSTOS0, 1]","[44524tcp00REJ, 1]","[80tcp00REJ, 1]","[0icmp1120OTH, 1]","[2icmp560OTH, 1]","[1icmp1200OTH, 1]","[0icmp1760OTH, 1]","[3icmp880OTH, 1]","[0icmp2880OTH, 1]","[13icmp920OTH, 1]","[47508tcp00RSTOS0, 1]","[49306tcp00RSTOS0, 1]","[39680tcp00REJ, 1]","[49012tcp00RSTOS0, 1]","[0icmp2720OTH, 1]","[0icmp1600OTH, 1]","[50628tcp00RSTOS0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 2292]","[666tcp00REJ, 5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 4553243]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 4553862]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 4553860]","[80tcp00S0, 4098466]","[8080tcp00S0, 455329]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
